"System Header Row
DO NOT DELETE THIS ROW
OR THIS COLUMN!",field_1289,field_1685,field_1688,field_1319,field_1321,field_1679,field_1677,field_1658,field_1659
,225012,0,,71501,Voided,0,,0,
,225018,0,,71508,Voided,0,,0,
,225019,0,,71512,Voided,0,,0,
,225023,71516,Voided,0,,0,,0,
,225024,71516,Voided,0,,0,,0,
,203309,71540,Voided,0,,71541,Voided,0,
,204923,71543,Voided,71544,Voided,0,,0,
,204858,0,,0,,71549,Voided,0,
,225033,0,,71550,Voided,0,,0,
,225047,0,,71582,Voided,0,,0,
,225049,0,,71587,Voided,0,,0,
,205207,0,,71600,Voided,0,,0,
,225067,0,,71607,Voided,0,,0,
,206451,0,,71619,Voided,0,,0,
,225074,0,,71624,Voided,0,,0,
,213263,0,,71630,Voided,0,,0,
,225086,0,,0,,71646,Voided,0,
,225089,0,,71651,Voided,0,,0,
,225093,0,,71661,Voided,0,,0,
,223780,0,,71681,Voided,0,,0,
,225115,0,,71692,Voided,0,,0,
,225122,0,,0,,71699,Voided,0,
,225125,71702,Voided,0,,0,,0,
,225132,0,,71709,Voided,0,,0,
,225136,0,,71712,Voided,0,,0,
,203039,0,,71719,Voided,0,,0,
,225143,0,,71725,Voided,0,,0,
,225144,71726,Voided,0,,0,,0,
,225145,71726,Voided,0,,0,,0,
,225146,0,,71729,Voided,0,,0,
,225149,71732,Voided,0,,0,,0,
,225150,0,,71734,Voided,0,,0,
,225151,71738,Voided,71739,Voided,0,,0,
,225153,0,,71741,Voided,0,,0,
,225155,0,,71745,Voided,0,,0,
,224658,0,,71765,Voided,0,,0,
,224911,0,,71771,Voided,0,,0,
,207936,0,,71774,Voided,0,,0,
,224897,0,,71781,Voided,0,,0,
,204300,0,,71785,Voided,0,,0,
,225239,0,,71785,Voided,0,,0,
,225238,71786,Voided,71787,Voided,0,,0,
,204480,71789,Voided,71790,Voided,0,,0,
,204196,0,,71792,Voided,0,,0,
,225236,0,,71796,Voided,0,,0,
,205181,71798,Voided,0,,0,,0,
,225230,0,,0,,71808,Voided,0,
,225222,0,,71816,Voided,0,,0,
,225219,0,,0,,71820,Voided,0,
,225180,0,,71852,Voided,0,,0,
,204787,0,,0,,71856,Voided,0,
,204647,0,,0,,0,,71859,Voided
,225187,71861,Voided,0,,71862,Voided,0,
,225190,0,,71869,Voided,0,,0,
,225188,0,,71872,Voided,0,,0,
,224957,0,,71880,Voided,0,,0,
,225193,0,,71884,Voided,0,,0,
,202411,0,,71891,Voided,0,,0,
,203162,0,,71893,Voided,0,,0,
,225202,0,,71895,Voided,0,,0,
,225203,0,,71898,Voided,0,,0,
,205581,71904,Voided,71905,Voided,0,,0,
,203012,0,,71907,Voided,0,,0,
,225210,71909,Voided,71910,Voided,0,,0,
,225257,0,,0,,71922,Voided,0,
,225259,0,,0,,0,,71930,Voided
,225266,0,,0,,71945,Voided,0,
,225267,71950,Voided,0,,71951,Voided,0,
,212118,71956,Voided,71957,Voided,0,,0,
,225276,0,,71967,Voided,0,,0,
,225278,0,,71970,Voided,0,,0,
,224697,0,,71978,Voided,0,,0,
,225285,71988,Voided,71989,Voided,0,,0,
,225287,71993,Voided,71994,Voided,0,,0,
,225288,0,,71997,Voided,0,,0,
,224618,0,,72004,Voided,0,,0,
,225290,0,,72006,Voided,0,,0,
,225295,72015,Voided,72016,Voided,0,,0,
,225294,0,,72020,Voided,0,,0,
,225307,0,,72040,Voided,0,,0,
,225317,0,,72055,Voided,0,,72054,Voided
,267421,0,,72069,Voided,0,,0,
,267373,72074,Voided,72075,Voided,0,,0,
,267345,0,,0,,72080,Voided,0,
,267321,0,,72088,Voided,0,,0,
,267301,72091,Voided,0,,0,,0,
,267296,72095,Voided,0,,0,,0,
,267275,0,,72098,Voided,0,,0,
,267115,0,,72122,Voided,0,,0,
,267100,0,,72134,Voided,0,,0,
,267606,72144,Cleared,72145,Voided,0,,0,
,267604,0,,0,,72146,Voided,0,
,267592,0,,72153,Voided,0,,0,
,267586,0,,72157,Voided,0,,0,
,267413,0,,0,,72162,Voided,0,
,267389,0,,72189,Voided,0,,0,
,267369,72195,Voided,0,,0,,0,
,267364,0,,72200,Voided,0,,0,
,267342,0,,72206,Voided,0,,0,
,267336,0,,72208,Voided,0,,0,
,267328,0,,72211,Voided,0,,0,
,267320,0,,72213,Voided,0,,0,
,267295,0,,72220,Voided,0,,0,
,267291,0,,0,,72223,Voided,0,
,266908,0,,72230,Voided,0,,0,
,266898,0,,0,,72240,Voided,0,
,266886,72254,Voided,72255,Voided,0,,0,
,269016,73272,Cleared,72273,Voided,0,,0,
,266853,0,,72278,Voided,0,,0,
,266851,0,,72279,Voided,0,,0,
,266831,72297,Voided,0,,0,,0,
,266826,0,,0,,72304,Voided,0,
,266814,0,,72309,Voided,0,,0,
,266809,72310,Cleared,72311,Voided,0,,0,
,266798,0,,72314,Voided,0,,0,
,266803,0,,72315,Voided,0,,0,
,266791,0,,72321,Voided,0,,0,
,266781,0,,72323,Voided,0,,72322,Cleared
,266786,72324,Voided,0,,0,,0,
,224922,0,,72331,Voided,0,,0,
,267484,0,,72336,Voided,0,,0,
,267571,0,,72340,Voided,0,,0,
,267558,0,,72349,Voided,0,,0,
,267553,0,,0,,72352,Voided,0,
,267540,72365,Voided,0,,0,,0,
,267497,0,,72394,Voided,0,,0,
,267495,72395,Voided,0,,0,,0,
,267470,0,,0,,72408,Voided,0,
,267701,72428,Voided,72429,Voided,0,,0,
,267686,72439,Voided,0,,0,,0,
,267688,72439,Voided,0,,0,,0,
,267682,0,,72442,Voided,0,,0,
,267680,0,,72443,Voided,0,,0,
,267672,0,,0,,72447,Voided,0,
,267670,0,,72448,Voided,0,,0,
,267649,0,,72459,Voided,0,,0,
,267645,0,,72464,Voided,0,,0,
,267628,0,,72466,Voided,0,,0,
,267639,72468,Voided,0,,0,,0,
,267629,72470,Voided,0,,0,,0,
,267624,72478,Voided,72479,Voided,0,,0,
,267618,0,,0,,72483,Voided,0,
,266931,72500,Voided,0,,0,,0,
,266933,0,,72502,Voided,0,,0,
,266952,0,,72513,Voided,0,,0,
,266955,72515,Voided,72516,Voided,0,,0,
,266958,0,,72519,Voided,0,,0,
,266959,72520,Voided,0,,0,,0,
,266962,0,,72522,Voided,0,,0,
,266966,72526,Voided,0,,0,,0,
,266972,72529,Cleared,72530,Voided,0,,0,
,266969,72533,Voided,72534,Voided,0,,0,
,266974,72535,Voided,0,,0,,0,
,266982,0,,72539,Voided,0,,0,
,266981,72540,Voided,0,,0,,0,
,267007,0,,72549,Voided,0,,0,
,267004,72554,Voided,72555,Voided,0,,0,
,267013,72554,Voided,0,,0,,0,
,267148,0,,72566,Voided,0,,0,
,266983,72574,Voided,72573,Cleared,0,,0,
,267037,0,,72577,Voided,0,,0,
,267049,0,,72582,Voided,0,,0,
,267059,0,,72585,Voided,0,,0,
,267156,0,,72607,Voided,0,,0,
,267175,0,,72623,Voided,0,,72622,Cleared
,205277,0,,72627,Voided,0,,0,
,267184,72629,Cleared,72630,Voided,0,,0,
,267192,0,,72637,Voided,0,,0,
,267195,72639,Voided,0,,72640,Voided,0,
,224805,0,,72643,Voided,0,,0,
,267213,0,,72649,Voided,0,,0,
,267215,0,,0,,72650,Voided,0,
,267220,72651,Voided,0,,0,,0,
,267262,72679,Voided,0,,72680,Cleared,0,
,267755,0,,72696,Voided,0,,0,
,267757,72697,Cleared,72698,Voided,0,,0,
,267764,0,,72704,Voided,0,,0,
,267770,72707,Cleared,72708,Voided,0,,0,
,267777,72711,Voided,72712,Voided,0,,0,
,267783,72715,Cleared,72716,Voided,0,,0,
,267792,72723,Cleared,0,,72724,Voided,0,
,267808,0,,72730,Voided,0,,0,
,267809,72731,Cleared,72732,Voided,0,,0,
,267817,72734,Voided,0,,0,,0,
,267819,72734,Voided,0,,0,,0,
,267815,0,,72735,Voided,0,,0,
,267826,0,,72742,Voided,0,,0,
,267898,0,,72783,Voided,0,,0,
,267892,0,,72784,Voided,0,,0,
,267914,0,,72807,Voided,0,,0,
,267947,72816,Voided,72817,Cleared,0,,0,
,267949,72818,Voided,72819,Voided,0,,0,
,267939,72822,Voided,72823,Voided,0,,0,
,267971,72833,Voided,0,,72834,Voided,0,
,224996,0,,72843,Voided,0,,0,
,268016,0,,72856,Voided,0,,0,
,268121,0,,72861,Voided,0,,0,
,268122,72871,Voided,72872,Voided,0,,0,
,268053,72877,Voided,72884,Voided,0,,0,
,268055,0,,0,,72883,Voided,0,
,268094,72894,Voided,72895,Cleared,0,,0,
,268096,0,,0,,72896,Voided,0,
,268108,72899,Voided,72900,Cleared,0,,0,
,268091,0,,72904,Voided,0,,0,
,267977,72911,Voided,72912,Voided,0,,0,
,268126,0,,72913,Voided,0,,0,
,268168,0,,0,,72925,Voided,0,
,268296,72931,Voided,0,,0,,0,
,268298,72931,Voided,0,,0,,0,
,268301,72931,Voided,0,,0,,0,
,268130,0,,0,,72933,Voided,0,
,268141,0,,72936,Voided,0,,0,
,268148,72937,Voided,0,,0,,0,
,268303,72938,Voided,72939,Voided,0,,0,
,267382,0,,0,,72957,Voided,0,
,268163,0,,72960,Voided,0,,0,
,268227,0,,72980,Voided,0,,0,
,268239,0,,72983,Voided,0,,0,
,267020,0,,72984,Voided,0,,72603,Cleared
,268244,0,,72992,Voided,0,,0,
,268223,73009,Voided,73010,Cleared,0,,0,
,268277,73014,Voided,0,,0,,0,
,268259,73020,Cleared,0,,73019,Voided,0,
,268368,0,,73025,Voided,0,,0,
,268384,73036,Cleared,0,,73037,Voided,0,
,268392,73042,Voided,73043,Cleared,0,,0,
,268400,0,,0,,73049,Voided,0,
,268408,0,,0,,73053,Voided,0,
,268420,73059,Voided,73060,Cleared,0,,0,
,268426,0,,0,,73061,Voided,0,
,268464,0,,73069,Voided,0,,0,
,268469,73070,Voided,0,,0,,0,
,268473,73070,Voided,0,,0,,0,
,268475,73070,Voided,0,,0,,0,
,268455,73071,Cleared,73072,Voided,0,,0,
,268444,0,,73074,Voided,0,,0,
,268514,73092,Voided,73093,Voided,0,,0,
,268515,73094,Cleared,73095,Voided,0,,0,
,268500,73096,Voided,73097,Voided,0,,0,
,268511,73098,Voided,73099,Voided,0,,0,
,268651,73107,Voided,73108,Voided,0,,0,
,268667,73120,Voided,0,,73121,Cleared,0,
,268670,0,,73123,Voided,0,,0,
,268710,73131,Voided,0,,0,,0,
,268701,73133,Voided,0,,73134,Cleared,0,
,268726,0,,0,,0,,73144,Voided
,268729,0,,0,,73158,Voided,0,
,268760,73167,Cleared,73168,Voided,0,,0,
,268753,73172,Voided,73171,Voided,0,,0,
,268750,0,,73178,Voided,0,,73163,Cleared
,267676,0,,73180,Voided,0,,0,
,268847,73188,Voided,73187,Cleared,0,,0,
,268853,0,,73191,Voided,0,,0,
,268874,73201,Voided,73202,Voided,0,,0,
,268908,0,,73202,Voided,0,,0,
,268872,0,,0,,73205,Voided,0,
,268879,73206,Voided,73207,Voided,0,,0,
,268893,73214,Cleared,73215,Voided,0,,0,
,268910,73226,Voided,73227,Voided,0,,0,
,268916,0,,73231,Voided,0,,0,
,268924,0,,73239,Voided,0,,0,
,268926,73242,Voided,73243,Voided,0,,0,
,269020,0,,0,,73269,Voided,0,
,269018,73270,Voided,0,,73271,Cleared,0,
,269034,0,,73288,Voided,0,,0,
,269058,0,,0,,73302,Voided,0,
,269051,0,,73307,Voided,0,,0,
,268391,0,,73319,Voided,0,,73033,Cleared
,269127,0,,73335,Voided,0,,0,
,269143,0,,73347,Voided,0,,0,
,269148,0,,0,,73348,Voided,0,
,269154,0,,73350,Voided,0,,0,
,269170,0,,73364,Voided,0,,0,
,269182,73374,Voided,73375,Cleared,0,,0,
,269184,0,,73376,Voided,0,,72880,Cleared
,269183,73379,Voided,73380,Cleared,0,,0,
,269187,0,,73383,Voided,0,,0,
,269189,73385,Voided,0,,0,,0,
,269195,73389,Voided,0,,0,,0,
,269196,73389,Voided,0,,0,,0,
,269197,73389,Voided,0,,0,,0,
,269194,0,,73393,Voided,0,,0,
,267118,0,,0,,0,,72117,Cleared
,267091,0,,0,,0,,72137,Cleared
,267601,0,,72148,Cleared,0,,0,
,269075,0,,72168,Cleared,0,,0,
,267380,0,,0,,0,,72187,Cleared
,267359,72203,Cleared,0,,0,,0,
,267349,0,,0,,72205,Cleared,0,
,267347,0,,0,,72205,Cleared,0,
,267288,0,,73282,Cleared,0,,72224,Cleared
,266916,72227,Cleared,0,,0,,0,
,266910,72229,Cleared,0,,0,,0,
,266912,72229,Cleared,0,,0,,0,
,266914,72229,Cleared,0,,0,,0,
,266906,72231,Cleared,0,,0,,0,
,266893,0,,72245,Cleared,0,,0,
,266889,0,,72250,Cleared,0,,0,
,266874,0,,72263,Cleared,0,,0,
,266868,72268,Cleared,0,,0,,0,
,266858,72271,Cleared,0,,0,,0,
,266857,0,,72277,Cleared,0,,0,
,266848,0,,72282,Cleared,0,,0,
,266837,0,,72292,Cleared,0,,0,
,266811,72310,Cleared,0,,0,,0,
,266813,72310,Cleared,0,,0,,0,
,266806,72312,Cleared,0,,0,,0,
,266797,72316,Cleared,72317,Cleared,0,,0,
,266784,0,,0,,0,,72322,Cleared
,267563,0,,72346,Cleared,0,,0,
,267555,0,,0,,72353,Cleared,0,
,267481,0,,0,,0,,72369,Cleared
,267482,0,,0,,0,,72372,Cleared
,267514,72374,Cleared,0,,0,,0,
,267513,0,,72377,Cleared,0,,0,
,267483,0,,0,,0,,72379,Cleared
,267464,0,,0,,0,,72413,Cleared
,267729,0,,72928,Cleared,0,,72420,Cleared
,267699,0,,72430,Cleared,0,,0,
,267696,0,,72433,Cleared,0,,0,
,267695,0,,72434,Cleared,0,,0,
,267146,0,,72438,Cleared,0,,0,
,267674,0,,72446,Cleared,0,,0,
,267664,0,,72453,Cleared,0,,0,
,267658,0,,0,,0,,72456,Cleared
,267653,0,,0,,0,,72457,Cleared
,267655,0,,0,,0,,72457,Cleared
,267643,0,,72467,Cleared,0,,0,
,267627,0,,73685,Voided,0,,72477,Cleared
,267615,72488,Cleared,0,,0,,0,
,266918,0,,0,,0,,72490,Cleared
,266925,0,,72495,Cleared,0,,0,
,266928,0,,0,,72497,Voided,0,
,266929,72498,Cleared,72499,Cleared,0,,0,
,266936,0,,0,,72504,Cleared,0,
,266940,72507,Cleared,0,,0,,0,
,266941,0,,72508,Cleared,0,,0,
,266947,0,,72510,Cleared,0,,0,
,266948,0,,0,,72512,Cleared,0,
,266967,0,,72528,Cleared,0,,0,
,266971,0,,0,,72531,Cleared,0,
,225270,0,,0,,72532,Cleared,0,
,266975,0,,72537,Cleared,0,,0,
,266986,0,,72543,Cleared,0,,0,
,267011,0,,72546,Cleared,0,,0,
,267009,0,,72547,Cleared,0,,0,
,267006,72550,Cleared,72551,Cleared,0,,0,
,268167,0,,72553,Cleared,0,,0,
,267002,0,,72556,Cleared,0,,0,
,266989,72559,Cleared,0,,0,,0,
,266992,72559,Cleared,0,,0,,0,
,266994,72559,Cleared,0,,0,,0,
,266996,72559,Cleared,0,,0,,0,
,267015,0,,72562,Cleared,0,,0,
,267035,0,,0,,72575,Cleared,0,
,267150,0,,0,,72576,Cleared,0,
,267052,0,,72583,Cleared,0,,0,
,267056,0,,72584,Cleared,0,,0,
,267061,0,,72586,Cleared,0,,0,
,267063,0,,72587,Cleared,0,,0,
,267066,0,,72588,Cleared,0,,0,
,267069,0,,72589,Cleared,0,,0,
,267071,0,,72590,Cleared,0,,0,
,267075,0,,72592,Cleared,0,,0,
,267083,0,,72597,Cleared,0,,0,
,267022,0,,0,,0,,72602,Cleared
,267038,0,,72605,Cleared,0,,0,
,267153,0,,0,,72606,Cleared,0,
,267155,0,,72608,Cleared,0,,0,
,267160,0,,72610,Cleared,0,,0,
,267158,72611,Cleared,0,,0,,0,
,267162,72613,Cleared,0,,0,,0,
,267166,0,,0,,72615,Cleared,72614,Cleared
,267164,72616,Cleared,72617,Cleared,0,,0,
,267172,0,,0,,0,,72620,Cleared
,267177,0,,0,,0,,72624,Cleared
,267180,72625,Cleared,0,,72626,Cleared,0,
,267182,0,,72628,Cleared,0,,0,
,267187,72633,Cleared,0,,0,,0,
,267190,72636,Cleared,0,,0,,0,
,267193,0,,72638,Cleared,0,,0,
,267197,0,,72641,Cleared,0,,0,
,267198,0,,72642,Cleared,0,,0,
,267200,0,,72644,Cleared,0,,0,
,267204,72645,Cleared,0,,0,,0,
,267209,0,,72646,Cleared,0,,0,
,204315,0,,0,,72647,Cleared,0,
,267212,0,,72648,Cleared,0,,0,
,267218,0,,72652,Cleared,0,,0,
,267217,0,,0,,72653,Cleared,0,
,267221,0,,0,,72654,Cleared,0,
,267222,72655,Cleared,72656,Cleared,0,,0,
,267238,72664,Cleared,72655,Cleared,0,,0,
,267223,0,,0,,72657,Cleared,0,
,267225,72658,Cleared,0,,0,,0,
,267236,72662,Cleared,72663,Cleared,0,,0,
,267241,72666,Cleared,0,,0,,0,
,267243,72666,Cleared,0,,0,,0,
,267245,72666,Cleared,0,,0,,0,
,267247,0,,0,,0,,72666,Cleared
,269074,0,,0,,0,,72667,Cleared
,267260,72667,Cleared,72668,Cleared,0,,0,
,267254,72671,Cleared,72672,Cleared,0,,0,
,267249,72674,Cleared,0,,0,,0,
,267251,72674,Cleared,0,,0,,0,
,267253,72674,Cleared,0,,0,,0,
,207684,0,,72678,Cleared,0,,72677,Cleared
,207684,0,,72678,Cleared,0,,0,
,267263,0,,72681,Cleared,0,,0,
,267732,0,,72683,Cleared,0,,0,
,267740,0,,0,,72684,Cleared,0,
,267737,0,,72686,Cleared,0,,0,
,267739,0,,72687,Cleared,0,,0,
,267742,72688,Cleared,72689,Cleared,0,,0,
,267745,0,,72691,Cleared,0,,0,
,267747,0,,72692,Cleared,0,,0,
,267749,0,,73063,Cleared,0,,72694,Cleared
,267750,0,,72695,Voided,0,,0,
,267754,0,,72699,Voided,0,,0,
,267751,0,,72700,Cleared,0,,0,
,267752,0,,72700,Cleared,0,,0,
,267768,72701,Cleared,0,,0,,0,
,267766,0,,72702,Cleared,0,,0,
,267760,72703,Cleared,0,,0,,0,
,267762,72703,Cleared,0,,0,,0,
,267772,0,,0,,72706,Cleared,0,
,267776,0,,0,,72709,Cleared,0,
,267778,0,,72713,Cleared,0,,0,
,267779,0,,72714,Cleared,0,,0,
,267781,72717,Cleared,0,,0,,0,
,267786,72718,Cleared,72719,Cleared,0,,0,
,267785,72720,Cleared,72721,Cleared,0,,0,
,267788,72722,Cleared,0,,0,,0,
,267790,72722,Cleared,0,,0,,0,
,267794,72725,Cleared,72726,Cleared,0,,0,
,267796,0,,72727,Cleared,0,,0,
,267800,72729,Cleared,0,,0,,0,
,267802,72729,Cleared,0,,0,,0,
,267804,72729,Cleared,0,,0,,0,
,267806,72729,Cleared,0,,0,,0,
,267811,72731,Cleared,0,,0,,0,
,267813,72731,Cleared,0,,0,,0,
,267820,0,,72737,Voided,0,,72736,Cleared
,267821,72738,Cleared,72739,Cleared,0,,0,
,267827,0,,0,,72744,Cleared,0,
,267828,0,,72745,Cleared,0,,0,
,267832,72748,Cleared,0,,72749,Cleared,0,
,267834,0,,0,,0,,72750,Cleared
,267836,0,,0,,0,,72752,Cleared
,267840,72756,Cleared,0,,0,,0,
,267842,0,,0,,0,,72757,Cleared
,267843,0,,0,,0,,72758,Cleared
,267845,72759,Cleared,0,,0,,0,
,267844,72759,Cleared,0,,0,,0,
,267846,0,,72760,Cleared,0,,0,
,267847,0,,0,,0,,72762,Cleared
,267852,0,,74782,Cleared,0,,72764,Cleared
,267854,0,,73029,Cleared,0,,72765,Cleared
,267882,0,,0,,0,,72770,Cleared
,267884,0,,72771,Cleared,0,,0,
,267886,0,,72772,Cleared,0,,0,
,267890,0,,72775,Cleared,0,,0,
,267891,0,,72776,Cleared,0,,0,
,267678,0,,0,,72778,Cleared,0,
,225292,0,,72780,Cleared,0,,0,
,267894,0,,72781,Cleared,0,,0,
,267896,0,,72782,Cleared,0,,0,
,267900,72785,Cleared,0,,72786,Cleared,0,
,267901,0,,72788,Cleared,0,,0,
,267905,72789,Cleared,72790,Cleared,0,,0,
,267907,72791,Cleared,72792,Cleared,0,,0,
,267903,0,,72793,Cleared,0,,0,
,267910,72794,Cleared,72795,Cleared,0,,0,
,267912,72796,Cleared,72797,Cleared,0,,0,
,267909,0,,72798,Cleared,0,,0,
,267917,72799,Cleared,0,,0,,0,
,267924,0,,72800,Cleared,0,,0,
,267913,0,,72801,Cleared,0,,0,
,267921,72802,Cleared,0,,0,,0,
,267920,0,,72804,Cleared,0,,72803,Cleared
,267918,72806,Cleared,0,,0,,0,
,267927,72808,Cleared,0,,0,,0,
,267932,72808,Cleared,0,,0,,0,
,267935,72808,Cleared,0,,0,,0,
,267938,72809,Cleared,0,,72810,Cleared,0,
,267934,0,,0,,72811,Cleared,0,
,267929,72812,Cleared,0,,0,,0,
,267946,72814,Cleared,72815,Voided,0,,0,
,267941,72814,Cleared,0,,0,,0,
,267944,72814,Cleared,0,,0,,0,
,267954,0,,72824,Cleared,0,,0,
,267953,0,,72825,Cleared,0,,0,
,267958,0,,72827,Cleared,0,,72826,Cleared
,267952,0,,72828,Cleared,0,,0,
,267960,0,,72829,Cleared,0,,0,
,267957,0,,0,,72830,Cleared,0,
,267962,72831,Cleared,0,,0,,0,
,267965,72831,Cleared,0,,0,,0,
,267968,72831,Cleared,0,,0,,0,
,267974,0,,72835,Cleared,0,,0,
,267984,72836,Cleared,0,,0,,0,
,267986,72836,Cleared,0,,0,,0,
,267988,0,,0,,0,,72837,Cleared
,267990,0,,0,,0,,72838,Cleared
,267992,0,,0,,0,,72838,Cleared
,268014,0,,72842,Cleared,0,,0,
,268020,72845,Cleared,0,,72846,Cleared,0,
,268019,0,,72848,Cleared,0,,0,
,268021,0,,72848,Cleared,0,,0,
,268023,0,,0,,72849,Voided,0,
,268025,72850,Cleared,72851,Cleared,0,,0,
,268120,0,,72852,Cleared,0,,0,
,268030,0,,72854,Cleared,0,,0,
,268052,0,,72857,Cleared,0,,0,
,268069,0,,72858,Cleared,0,,0,
,268027,0,,72859,Cleared,0,,0,
,268031,72860,Cleared,0,,72862,Cleared,0,
,268041,72863,Cleared,0,,0,,0,
,268040,0,,72864,Cleared,0,,0,
,268038,0,,72865,Cleared,0,,0,
,268036,0,,0,,0,,72867,Cleared
,268043,0,,72868,Cleared,0,,0,
,268050,0,,0,,72873,Cleared,0,
,268049,0,,72874,Cleared,0,,0,
,269806,0,,0,,0,,72875,Cleared
,268059,72876,Cleared,0,,0,,0,
,268062,72876,Cleared,0,,0,,0,
,268066,72876,Cleared,0,,0,,0,
,268068,72876,Cleared,0,,0,,0,
,268065,0,,72881,Cleared,0,,0,
,268058,0,,72882,Cleared,0,,0,
,268060,0,,72882,Cleared,0,,0,
,268074,72886,Cleared,0,,0,,0,
,268118,0,,72887,Cleared,0,,0,
,268072,0,,72889,Cleared,0,,0,
,268098,0,,72890,Cleared,0,,0,
,268081,0,,0,,0,,72891,Cleared
,267469,0,,72892,Cleared,0,,0,
,268092,0,,72897,Voided,0,,0,
,268105,0,,0,,72901,Cleared,0,
,268079,0,,0,,0,,72902,Cleared
,268104,0,,72903,Cleared,0,,0,
,268090,0,,72905,Cleared,0,,0,
,268101,72906,Cleared,0,,72907,Cleared,0,
,268086,0,,72909,Cleared,0,,0,
,268124,0,,0,,72910,Cleared,0,
,268127,72914,Cleared,72915,Cleared,0,,0,
,268147,0,,72918,Cleared,0,,0,
,268145,0,,72919,Cleared,0,,0,
,268139,0,,0,,72922,Cleared,0,
,268135,0,,72923,Voided,0,,0,
,268172,0,,0,,0,,72924,Cleared
,268294,0,,72930,Voided,0,,0,
,268308,72940,Cleared,0,,0,,0,
,268306,72940,Cleared,0,,0,,0,
,268151,0,,72941,Cleared,0,,0,
,268138,0,,72942,Cleared,0,,0,
,268150,0,,0,,72943,Cleared,0,
,268310,72944,Cleared,0,,0,,0,
,268312,72944,Cleared,0,,0,,0,
,268315,72944,Cleared,72945,Cleared,0,,0,
,268178,0,,72946,Cleared,0,,0,
,268156,72947,Cleared,0,,0,,0,
,268317,72948,Cleared,0,,0,,0,
,268319,72948,Cleared,0,,0,,0,
,268158,0,,0,,72949,Cleared,0,
,268160,72951,Cleared,0,,0,,0,
,268164,72951,Cleared,0,,0,,0,
,268152,0,,72953,Cleared,0,,0,
,268166,0,,72955,Cleared,0,,0,
,268155,72958,Cleared,72959,Cleared,0,,0,
,268322,72962,Cleared,0,,0,,0,
,268323,72963,Cleared,0,,0,,0,
,268325,72964,Cleared,0,,0,,0,
,268328,72964,Cleared,0,,0,,0,
,268174,72967,Cleared,0,,0,,0,
,268176,72967,Cleared,0,,0,,0,
,268179,72967,Cleared,0,,0,,0,
,268183,72967,Cleared,0,,0,,0,
,268185,72967,Cleared,0,,0,,0,
,268187,72968,Cleared,0,,0,,0,
,268194,0,,72970,Cleared,0,,0,
,268202,0,,0,,0,,72971,Cleared
,268195,72975,Cleared,72974,Cleared,0,,0,
,268220,0,,0,,72977,Cleared,0,
,268225,0,,72979,Cleared,0,,0,
,268230,0,,72981,Cleared,0,,0,
,268235,0,,72982,Cleared,0,,0,
,268197,72985,Cleared,0,,0,,0,
,268200,72985,Cleared,0,,0,,0,
,268203,72985,Cleared,0,,0,,0,
,268216,0,,72986,Cleared,0,,0,
,268212,0,,72987,Cleared,0,,0,
,268222,0,,72987,Cleared,0,,0,
,268209,0,,72988,Cleared,0,,0,
,268246,0,,72993,Cleared,0,,0,
,268248,72994,Cleared,72995,Cleared,0,,0,
,268133,0,,0,,0,,72997,Cleared
,268242,0,,72998,Cleared,0,,0,
